event_type,tier,spec,lag,effect,se,effect_pw,t,n_events,n_players
blunder,fm_plus,zpre,2,0.02335391077873905,0.018400122630119288,0.025885983194737436,1.269225822468752,12560,136
blunder,fm_plus,zpre,3,0.037404976503202875,0.019228506311511413,0.019973340853073503,1.9452876836725412,11575,136
blunder,lower,nlegal,-6,0.014537301721433263,0.01228642817640578,0.0018396483931302355,1.1831999921140584,18471,1747
blunder,lower,nlegal,-5,0.035122405491653214,0.012001518013875483,0.02882011512062919,2.9264969190602934,19333,1756
blunder,lower,nlegal,-4,0.03543152284112603,0.011677661836264138,0.013927018987528392,3.0341281789044436,20115,1763
blunder,lower,nlegal,-3,0.05387466286069065,0.011347194633138274,0.0408031589883264,4.747839849627275,20836,1768
blunder,lower,nlegal,-2,0.08721815925297696,0.010611936075536047,0.08089890913883185,8.218873411237663,21605,1775
blunder,lower,nlegal,-1,0.051842559299485794,0.010637765297760497,0.04423860402649792,4.873444548583891,22037,1780
blunder,lower,nlegal,0,0.2953551849571389,0.011108100672331447,0.29357175622283926,26.589170702496673,23609,1790
blunder,lower,nlegal,1,0.01902744952143639,0.012315596442087918,0.014388088830711963,1.5449880654103814,22144,1785
blunder,lower,nlegal,2,0.043638680309353146,0.012669023369449577,0.046583837073253365,3.4445181003126595,21479,1773
blunder,lower,nlegal,3,0.03356186897472379,0.012688848445587242,0.0357099565924527,2.6449893478234023,20805,1773
blunder,lower,none,-6,0.07202320431773071,0.012029088906968669,0.06123860275916293,5.987419735172659,19812,1767
blunder,lower,none,-5,0.0975353466575666,0.01219907159667505,0.08803915281733517,7.995308977787342,20696,1776
blunder,lower,none,-4,0.10992055102160107,0.011479778822403653,0.09051700849133991,9.575145368400552,21482,1781
blunder,lower,none,-3,0.12737867420635604,0.011089804231634914,0.11522400487344311,11.486106656688676,22221,1787
blunder,lower,none,-2,0.1583318423129729,0.011121674696006882,0.15028263871685518,14.236331005960842,22988,1795
blunder,lower,none,-1,0.22482861831631568,0.010909663993053384,0.2208576679504388,20.60820740762254,23393,1797
blunder,lower,none,0,0.4588408176722484,0.01095543795618426,0.4568139352572105,41.88247147283019,25000,1807
blunder,lower,none,1,0.2049869847895908,0.011832714232642235,0.21032766873011802,17.3237501353751,23502,1799
blunder,lower,none,2,0.15499441612546713,0.011447850816136458,0.1655427329620492,13.539171554104536,22839,1785
blunder,lower,none,3,0.13606504956667792,0.011683762496994508,0.14986063990483717,11.645653495753516,22141,1784
blunder,lower,zpre,-6,0.02370513693647906,0.015557687388502014,0.015952532509343302,1.5236928435776682,13920,1659
blunder,lower,zpre,-5,0.035687676669424455,0.015316737979524448,0.038968271854517664,2.3299789235235373,14808,1681
blunder,lower,zpre,-4,0.0342671955453239,0.014251036554668152,0.042602019963399455,2.4045405689524486,15599,1695
blunder,lower,zpre,-3,0.005065582440810126,0.012843419345837426,0.01976010373329971,0.3944107331862437,16815,1726
blunder,lower,zpre,-2,0.02501454367890165,0.011861873601283886,0.01273637515085582,2.1088189370180244,18081,1742
blunder,lower,zpre,-1,-0.011916756683447854,0.011033318844162929,-0.016766308627593544,-1.080069999948592,19291,1759
blunder,lower,zpre,0,0.2745789079311542,0.012869226937891666,0.2897970876284845,21.336084075314144,21042,1775
blunder,lower,zpre,1,-0.01208487169007769,0.013949470814625985,-0.03010891103473505,-0.8663319096955802,19741,1766
blunder,lower,zpre,2,0.023055139319777092,0.014751210809779779,0.007847904951813823,1.5629319936565453,18645,1751
blunder,lower,zpre,3,0.01870582096231323,0.014077108959183798,0.01704211837062013,1.3288112649088857,17638,1736
material,1300-1600,zpre,-6,-0.0034251224481480105,0.017216252541757293,-0.006218086938715867,-0.19894703797127283,13759,476
material,1300-1600,zpre,-5,-0.00024569253361031245,0.01558101350696518,-0.016790410607386314,-0.015768713216279578,14628,476
material,1300-1600,zpre,-4,0.010959541773557393,0.013415672576773178,0.016044467179484084,0.8169207850623805,15475,477
material,1300-1600,zpre,-3,-0.014847831032372747,0.012000476371053115,-0.016190710537310277,-1.2372701360579206,16612,477
material,1300-1600,zpre,-2,0.01449303687493596,0.011873195318071557,0.027380834205984764,1.220651769526345,17803,477
material,1300-1600,zpre,-1,0.0169265496469227,0.01079373067356123,0.012211495038419612,1.5681834352587227,19010,477
material,1300-1600,zpre,0,0.22126276706674178,0.011010845658069703,0.21588256371381168,20.09498397651058,20733,477
material,1300-1600,zpre,1,-0.5870859397054395,0.012317390397104888,-0.6065646224932263,-47.66317545991152,19534,477
material,1300-1600,zpre,2,-0.05450909744109873,0.013331087100218988,-0.043079873082539355,-4.088871149915698,18417,476
material,1300-1600,zpre,3,-0.06437611705281342,0.014003958165649507,-0.052379917652823,-4.596994384824888,17386,476
material,1600-1900,zpre,-6,-0.006573882443325543,0.015755645260038507,-0.012888914576293953,-0.4172398105458155,14310,463
material,1600-1900,zpre,-5,0.0052534927407569924,0.013435862121507667,0.012330084442564376,0.3910052584081956,15287,463
material,1600-1900,zpre,-4,0.027235355826323516,0.015440638182422868,0.01923911901265482,1.7638750098637361,16126,463
material,1600-1900,zpre,-3,-0.002226276583347862,0.010237948945829764,0.005347525366403906,-0.217453378125576,17240,463
material,1600-1900,zpre,-2,0.017633971860695305,0.010472834216097713,0.008685835266416296,1.6837822022991886,18376,463
material,1600-1900,zpre,-1,0.006865022207123175,0.009856938377304206,0.0031601564926984115,0.6964659759799273,19521,463
material,1600-1900,zpre,0,0.22053078471637774,0.010626420506494007,0.21287108304608005,20.753063986279027,21069,463
material,1600-1900,zpre,1,-0.6321880200417418,0.012865375694691813,-0.6410799728154256,-49.13871425477138,19513,463
material,1600-1900,zpre,2,-0.03664350738202569,0.014070140428576116,-0.010725262230473364,-2.6043455335814283,18335,463
material,1600-1900,zpre,3,-0.03823286813123512,0.013373979770865628,-0.03273439189411568,-2.8587502588065083,17310,463
material,1900-2100,zpre,-6,0.006000590091144397,0.017239421430545413,0.007297309947801255,0.3480737515072484,15540,473
material,1900-2100,zpre,-5,0.0024543589928540136,0.017143059360268154,-0.018439139162384866,0.14316925242307638,16406,473
material,1900-2100,zpre,-4,0.02374274711317456,0.014339781558971735,0.0290376939818869,1.6557258571571356,17131,473
material,1900-2100,zpre,-3,-0.006938726286357916,0.012442027504309635,-0.005667871051738042,-0.5576845320390507,18138,473
