outcome,label,lag,effect,se,t,effect_pw,n_events,n_players,event_mean,control_mean,coverage_all,raw_rate_all,n_events_all,matched_share,usable_share
blunder_x,blunder_only,-2,-0.034781870698308584,0.005857950421530164,-5.937549517399835,-0.05817524574852764,6634,1284,-0.06816684229487074,-0.03338497159656215,,,56319,0.414625,0.414625
blunder_x,blunder_only,-1,-0.009515721575040513,0.001020005067738483,-9.32909244866637,-0.008661929461207021,6634,1284,-0.12372670206460892,-0.1142109804895684,,,56319,0.414625,0.414625
blunder_x,blunder_only,0,0.9833478936744504,0.001086030684790152,905.4512984266715,0.9866632829030234,6588,1282,0.865306047899047,-0.1180418457754033,,,56319,0.414625,0.41175
blunder_x,blunder_only,1,-0.09206146775393065,0.012591752624854555,-7.311251300491144,-0.21150643374278896,5996,1234,0.07303466042930074,0.16509612818323138,0.8878176103979118,0.09800896454719885,56319,0.414625,0.37475
blunder_x,blunder_only,2,-0.011385982361219064,0.011657128259631276,-0.9767399060580648,-0.05205078699379037,5470,1184,0.04422139314710959,0.05560737550832865,,,56319,0.414625,0.341875
blunder_x,blunder_only,3,0.031421002330224185,0.011058255693420057,2.8414067463569754,0.02040708240425167,5025,1151,0.04147136787782934,0.010050365547605156,,,56319,0.414625,0.3140625
blunder_x,blunder_loss,-3,0.024658798941505106,0.005373322081305301,4.58911611259955,0.03880517448030101,6616,1306,-0.043752699540816654,-0.06841149848232175,,,19025,0.4135,0.4135
blunder_x,blunder_loss,-2,-0.033938829395668876,0.005400315246529448,-6.2846015179354415,-0.04766059971440017,6616,1306,-0.07325428407256114,-0.03931545467689226,,,19025,0.4135,0.4135
blunder_x,blunder_loss,-1,-0.007170207622179369,0.0009503678850055074,-7.544665318881033,-0.006628371084995738,6616,1306,-0.12279006346973423,-0.11561985584755485,,,19025,0.4135,0.4135
blunder_x,blunder_loss,0,0.9862825372752076,0.0009537212471244127,1034.1413072729283,0.9880197597828203,6579,1302,0.8672932762804498,-0.11898926099475783,,,19025,0.4135,0.4111875
blunder_x,blunder_loss,1,-0.1599437705729149,0.011736071660677453,-13.62839075947516,-0.26983368469599234,5601,1221,-0.0051857103170942645,0.15475806025582065,0.8296977660972404,0.008625479895829465,19025,0.4135,0.3500625
blunder_x,blunder_loss,2,-0.015757164480392247,0.011013965145663739,-1.4306532000054435,-0.025513702233393203,5172,1164,0.020113303971031848,0.0358704684514241,,,19025,0.4135,0.32325
blunder_x,blunder_loss,3,0.03366596931790453,0.010702873275360047,3.145507608261577,0.0367169550422689,4735,1117,0.03342217780542798,-0.00024379151247656234,,,19025,0.4135,0.2959375
blunder_x,loss_only,-3,0.01662980826254577,0.0052650619871283215,3.1585208879214024,0.03133287717297984,6112,1074,-0.06182692519339313,-0.07845673345593891,,,102615,0.382,0.382
blunder_x,loss_only,-2,-0.015387444246461393,0.005254464687372022,-2.928451357460221,-0.03031848009313483,6112,1074,-0.08069503320566909,-0.06530758895920769,,,102615,0.382,0.382
blunder_x,loss_only,-1,0.0011212011162616807,0.0010095397475420789,1.1106062133674905,0.001512789874075458,6112,1074,-0.10914825216161066,-0.11026945327787234,,,102615,0.382,0.382
blunder_x,loss_only,0,0.0015541701967655072,0.0010327857839922214,1.5048330649535864,0.002642527305882911,5905,1052,-0.11195354720723645,-0.11350771740400196,,,102615,0.382,0.3690625
blunder_x,loss_only,1,-0.017784091288075028,0.008398464970841077,-2.1175406874732743,-0.0028226634135874993,4923,986,-0.05818727240142588,-0.04040318111335083,0.6827949130244116,-0.041248585452224006,102615,0.382,0.3076875
blunder_x,loss_only,2,0.01047522086899352,0.010553702022812202,0.9925636375132592,0.019648409848013606,4540,944,-0.021186384181824978,-0.031661605050818505,,,102615,0.382,0.28375
blunder_x,loss_only,3,-0.0003957880468809357,0.01087364476976799,-0.03639883914373824,0.0058652786739720525,4198,905,-0.025081547495596702,-0.024685759448715764,,,102615,0.382,0.262375
wp_loss_q,blunder_only,-3,0.007551876940381205,0.0016597277905795332,4.550069585654337,0.011222754976143506,7016,1310,0.029312783695138834,0.021760906754757624,,,56319,0.4385,0.4385
wp_loss_q,blunder_only,-2,-0.0036990923982057043,0.0016809580140038152,-2.2005858369983704,-0.008895850854874566,7016,1310,0.025276700005830165,0.028975792404035867,,,56319,0.4385,0.4385
wp_loss_q,blunder_only,-1,0.0011904527753068344,0.0009617282256819226,1.237826595411331,0.0005827208114436244,7016,1310,0.01915004306459587,0.01795959028928903,,,56319,0.4385,0.4385
wp_loss_q,blunder_only,0,0.17834745327023127,0.0024352833767980683,73.23478448932052,0.1805025467278655,7014,1310,0.19679948072582445,0.018452027455593146,,,56319,0.4385,0.438375
wp_loss_q,blunder_only,1,-0.015120255523620839,0.003083622680734653,-4.903406508872394,-0.03559986656926874,6613,1285,0.05388162523374514,0.06900188075736596,0.9458086968873737,0.06013718817235583,56319,0.4385,0.4133125
wp_loss_q,blunder_only,2,-0.0007682228261764755,0.002683628211963861,-0.28626276275963547,-0.00806048191887255,6182,1251,0.04786173774725825,0.04862996057343473,,,56319,0.4385,0.386375
wp_loss_q,blunder_only,3,0.005580111412640423,0.002682451375526266,2.0802283551349254,0.002975826061283358,5806,1222,0.04575282041601195,0.040172709003371526,,,56319,0.4385,0.362875
wp_loss_q,blunder_loss,-3,0.006204144510828158,0.0011859432501980156,5.231400836247653,0.008881411396798114,6928,1323,0.029520286627075412,0.023316142116247256,,,19025,0.433,0.433
wp_loss_q,blunder_loss,-2,-0.0020507237653398366,0.0012526006921899173,-1.6371727862887921,-0.005332108223149095,6928,1323,0.02608290958332404,0.028133633348663874,,,19025,0.433,0.433
wp_loss_q,blunder_loss,-1,0.001973064973997397,0.0007160193307475328,2.755602941526025,0.0016863879184539205,6928,1323,0.020429436429404528,0.018456371455407128,,,19025,0.433,0.433
wp_loss_q,blunder_loss,0,0.19538333637315317,0.00265626352265043,73.55570511249536,0.19948084814873457,6923,1323,0.21491756872874287,0.019534232355589674,,,19025,0.433,0.4326875
wp_loss_q,blunder_loss,1,-0.04505097901083236,0.003117025160956708,-14.453197098032046,-0.07216512024714862,6269,1287,0.03151677352172663,0.076567752532559,0.9095926412614981,0.03380279650232403,19025,0.433,0.3918125
wp_loss_q,blunder_loss,2,-0.003821869544839281,0.0026262435988383074,-1.4552608701378071,-0.009427270812817216,5881,1255,0.041193986816154625,0.0450158563609939,,,19025,0.433,0.3675625
wp_loss_q,blunder_loss,3,0.004734517607689653,0.0025023717222037653,1.8920121122213218,0.005229105080658252,5504,1223,0.04258069672962106,0.0378461791219314,,,19025,0.433,0.344
wp_loss_q,loss_only,-3,0.003967917326351602,0.0012505976480920284,3.172816878718144,0.005539261234434964,7446,1242,0.021252281475503933,0.017284364149152326,,,102615,0.465375,0.465375
wp_loss_q,loss_only,-2,-0.0013063095333797924,0.001234821343045498,-1.0578935493275325,-0.004434057968993013,7446,1242,0.01876387230989975,0.020070181843279543,,,102615,0.465375,0.465375
wp_loss_q,loss_only,-1,-0.0002226952754302701,0.0007933572916430541,-0.28069985336501424,-0.0007251552609383686,7446,1242,0.01486716477256684,0.015089860047997112,,,102615,0.465375,0.465375
wp_loss_q,loss_only,0,0.004036702827271705,0.0009645416876200933,4.185099388738553,0.005238265503919943,7442,1242,0.019623576145733953,0.015586873318462249,,,102615,0.465375,0.465125
wp_loss_q,loss_only,1,-0.01101535915306051,0.0020948415955899507,-5.258325582349513,-0.00965854522303803,6369,1180,0.017454779639696747,0.028470138792757258,0.8567558349169225,0.019606722468848797,102615,0.465375,0.3980625
wp_loss_q,loss_only,2,-0.0010731869816622867,0.002180806858158908,-0.49210546896770957,0.0019275168601359121,5897,1129,0.027331882363564285,0.02840506934522657,,,102615,0.465375,0.3685625
wp_loss_q,loss_only,3,-0.0010715683772352686,0.002271075154165654,-0.471833076624424,0.001674654690352894,5472,1088,0.02767834361584804,0.028749911993083313,,,102615,0.465375,0.342
blunder_q,blunder_only,-3,0.029423647136599246,0.005912307747238202,4.976677195185555,0.053873299698353416,6673,1285,0.06398921025026225,0.034565563113663,,,56319,0.4170625,0.4170625
blunder_q,blunder_only,-2,-0.02942364713659924,0.005912307747238202,-4.976677195185554,-0.053873299698353416,6673,1285,0.050202307807582794,0.07962595494418205,,,56319,0.4170625,0.4170625
blunder_q,blunder_only,-1,0.0,0.0,,0.0,6673,1285,0.0,0.0,,,56319,0.4170625,0.4170625
blunder_q,blunder_only,0,1.0,0.0,,1.0,6624,1283,1.0,0.0,,,56319,0.4170625,0.414
blunder_q,blunder_only,1,-0.08920485394871681,0.012699683351296641,-7.024179381575602,-0.21173245346667685,6027,1236,0.1959515513522482,0.285156405300965,0.887941902377528,0.2187250039993601,56319,0.4170625,0.3766875
blunder_q,blunder_only,2,-0.010135803913043877,0.01179913987144102,-0.8590290498697173,-0.0532206926531987,5497,1186,0.16609059486992905,0.17622639878297294,,,56319,0.4170625,0.3435625
blunder_q,blunder_only,3,0.0327952083626022,0.011250365889091158,2.9150348251697173,0.020172497270277236,5045,1153,0.16273538156590683,0.12994017320330464,,,56319,0.4170625,0.3153125
blunder_q,blunder_loss,-3,0.02841896054764586,0.005322156290136591,5.339745584005858,0.04238724469337326,6656,1308,0.07151442307692307,0.04309546252927722,,,19025,0.416,0.416
blunder_q,blunder_loss,-2,-0.028418960547645852,0.005322156290136591,-5.339745584005857,-0.04238724469337326,6656,1308,0.045973557692307696,0.07439251823995353,,,19025,0.416,0.416
blunder_q,blunder_loss,-1,0.0,0.0,,0.0,6656,1308,0.0,0.0,,,19025,0.416,0.416
blunder_q,blunder_loss,0,1.0,0.0,,1.0,6618,1304,1.0,0.0,,,19025,0.416,0.413625
blunder_q,blunder_loss,1,-0.16507234760000108,0.011835968533533324,-13.946670028086242,-0.27883822803669395,5632,1223,0.11168323863636363,0.2767555862363647,0.8299080157687254,0.12141364240927228,19025,0.416,0.352
blunder_q,blunder_loss,2,-0.01986314509816552,0.01113717997846869,-1.7834986178338306,-0.028592697122803767,5198,1166,0.13678337822239323,0.15664652332055873,,,19025,0.416,0.324875
blunder_q,blunder_loss,3,0.028592412779973174,0.010834065533591062,2.639121269049212,0.031442544869661096,4759,1119,0.1494011346921622,0.12080872191218903,,,19025,0.416,0.2974375
blunder_q,loss_only,-3,0.016249963907357758,0.005269293678044814,3.0838979377948337,0.031357264227414285,6147,1077,0.045062632178298354,0.0288126682709406,,,102615,0.3841875,0.3841875
blunder_q,loss_only,-2,-0.016249963907357758,0.005269293678044814,-3.0838979377948337,-0.031357264227414285,6147,1077,0.02716772409305352,0.043417688000411285,,,102615,0.3841875,0.3841875
blunder_q,loss_only,-1,0.0,0.0,,0.0,6147,1077,0.0,0.0,,,102615,0.3841875,0.3841875
blunder_q,loss_only,0,0.0,0.0,,0.0,5940,1055,0.0,0.0,,,102615,0.3841875,0.37125
blunder_q,loss_only,1,-0.021644763798670454,0.008559017436221363,-2.528884180919041,-0.0056220765055997966,4951,987,0.05433245808927489,0.07597722188794534,0.6829410904838474,0.06462614155251141,102615,0.3841875,0.3094375
blunder_q,loss_only,2,0.006847871570782807,0.01070749908655647,0.6395397763218563,0.014953078890663359,4569,945,0.09323703217334209,0.08638916060255927,,,102615,0.3841875,0.2855625
blunder_q,loss_only,3,-0.004083537027230172,0.010721298410411272,-0.3808808290668151,0.0031292282620832288,4224,906,0.09019886363636363,0.09428240066359381,,,102615,0.3841875,0.264
