n_errors_per_participant,r,sb,sb_lo,sb_hi,n_participants,n_participants_used,draws,block,note,task
40,0.08340573198717907,0.15396919327704484,-0.040429301372401444,0.2876705255419787,77,77.0,50,40,,ffb
50,0.2400651246591897,0.387178426285415,0.2669577437446134,0.4831223002293237,35,35.0,50,40,,ffb
60,,,,,5,,0,40,too few participants with both halves,ffb
80,,,,,0,,0,40,too few participants with both halves,ffb
10,0.13290029903457606,0.23461702310871446,0.06106624566118195,0.41710445568790655,167,167.0,50,20,,ffb
20,0.26786157894705864,0.4225362292911245,0.27362361202605345,0.5370114159701181,144,144.0,50,20,,ffb
30,0.3813524883439487,0.5521429385682448,0.420821369055134,0.6300634074928602,123,123.0,50,20,,ffb
40,0.4234630431450601,0.5949745960099972,0.47845230073435224,0.6841286798318926,77,77.0,50,20,,ffb
50,0.48305991364065237,0.6514360334610407,0.5957044530416795,0.708545391674217,35,35.0,50,20,,ffb
60,,,,,5,,0,20,too few participants with both halves,ffb
80,,,,,0,,0,20,too few participants with both halves,ffb
10,0.11469434091005365,0.2057860305277484,0.006244420833455246,0.3585290282074792,167,167.0,50,80,,ffb
20,0.20426696145862305,0.3392373271148549,0.11420612214845595,0.4530146268780622,144,144.0,50,80,,ffb
30,0.2345975308249023,0.3800388735678313,0.22295893889766763,0.502971171753278,123,123.0,50,80,,ffb
40,0.27596194890891346,0.4325551365361989,0.3268266661737053,0.5739891296508853,77,77.0,50,80,,ffb
50,0.36984832407898194,0.5399841118075236,0.43949177776456594,0.6338970379375164,35,35.0,50,80,,ffb
60,,,,,5,,0,80,too few participants with both halves,ffb
80,,,,,0,,0,80,too few participants with both halves,ffb
10,0.1201582907318907,0.21452715347606827,0.026801353180610207,0.4016159105088656,165,165.0,50,40,,ffc
20,0.2176627136296805,0.35749854324163943,0.1436246528969079,0.47666822427300987,146,146.0,50,40,,ffc
30,0.3355110144946061,0.5024457859242379,0.33211616739668326,0.5964104161358151,125,125.0,50,40,,ffc
40,0.3269079429970869,0.4927364307329588,0.37088898263304126,0.6273786404849437,90,90.0,50,40,,ffc
50,0.5446444969597641,0.7052026129874146,0.6057696584700472,0.7698899631118826,65,65.0,50,40,,ffc
60,0.6898074361381581,0.8164331858507197,0.7713012066081053,0.869567318858137,33,33.0,50,40,,ffc
80,,,,,4,,0,40,too few participants with both halves,ffc
10,0.10136702226383527,0.1840328132869945,-0.10571234174218182,0.32133648463860076,165,165.0,50,20,,ffc
20,0.13169948421443473,0.2327463757396126,0.0046121966033446996,0.3777160254150064,146,146.0,50,20,,ffc
30,0.22057326174362607,0.36139518284555144,0.21440097317578938,0.47853535183651486,125,125.0,50,20,,ffc
40,0.2232362788057891,0.3649919664662149,0.16935737299971618,0.4989566384812808,90,90.0,50,20,,ffc
50,0.36203813605818536,0.5316111098630945,0.40816550082558445,0.6467860360438337,65,65.0,50,20,,ffc
60,0.6307361319189528,0.7735600064889856,0.7106949127333715,0.8300957542693103,33,33.0,50,20,,ffc
80,,,,,4,,0,20,too few participants with both halves,ffc
10,0.08772488913386697,0.1612929659840504,-0.12023702967521144,0.3657371769957913,165,165.0,50,80,,ffc
20,0.1759138902693533,0.29917235087233796,0.0817439821016956,0.48643513595949806,146,146.0,50,80,,ffc
30,0.2379888170434091,0.3844732963077949,0.2603405076057591,0.5407429066461811,125,125.0,50,80,,ffc
40,0.23610586947324197,0.3820141238760767,0.2389089933529889,0.5290864954687008,90,90.0,50,80,,ffc
50,0.3233772095341509,0.48871369710147483,0.3704491636399722,0.5758907890120436,65,65.0,50,80,,ffc
60,0.621350291355793,0.7664600876372202,0.7129923427183128,0.8171324813576484,33,33.0,50,80,,ffc
80,,,,,4,,0,80,too few participants with both halves,ffc
